bet,date,hometeam,awayteam,homegoals,awaygoals,bank,my_homeodds,my_awayodds,official_homeodds,official_awayodds,hfr19,afr19,str,wsh_form,wsa_form
1,25/04/12,Cesena,Juventus,0,1,-166.0,1.84,3.44,13.0,1.22,0.32,0.77,1.5,7,7
1,25/04/12,Novara,Lazio,2,1,-86.0,1.62,10.28,5.0,1.73,0.31,0.55,3.75,7,7
1,29/04/12,Novara,Juventus,0,4,-106.0,1.46,7.39,12.0,1.25,0.35,0.78,3.75,7,7
2,01/05/12,Napoli,Palermo,2,0,-126.0,2.53,2.42,1.3,9.5,0.59,0.43,0.23232,7,7
1,02/05/12,Cesena,Udinese,0,1,-146.0,1.97,4.85,5.0,1.73,0.29,0.53,1.5,7,7
1,02/05/12,Parma,Inter,3,1,-91.0,1.58,11.22,3.75,1.91,0.55,0.61,2.625,7,7
1,06/05/12,Bologna,Napoli,2,0,-11.0,1.49,12.69,5.0,1.62,0.55,0.61,3.15,7,7
1,06/05/12,Cagliari,Juventus,0,2,-31.0,1.46,7.9,13.0,1.25,0.41,0.77,3.375,7,7
2,13/05/12,Napoli,Siena,2,1,-51.0,2.58,2.56,1.33,11.0,0.58,0.44,0.25152,7,7
1,26/08/12,Pescara,Inter,0,3,-71.0,1.45,28.71,4.33,1.8,0.5,0.57,7.5,7,7
2,26/08/12,Roma,Catania,2,2,-91.0,2.71,2.45,1.4,8.0,0.53,0.45,0.25536,7,7
1,02/09/12,Udinese,Juventus,1,4,-111.0,1.53,16.03,5.0,1.73,0.57,0.81,4.95,7,7
1,16/09/12,Genoa,Juventus,1,3,-131.0,1.66,7.65,5.5,1.62,0.4,0.82,3.15,7,7
2,22/09/12,Juventus,Chievo,2,0,-151.0,2.32,2.64,1.29,10.0,0.83,0.47,0.21504,7,7
1,07/10/12,Pescara,Lazio,0,3,-171.0,1.52,26.92,4.2,1.91,0.45,0.57,7.5,7,7
1,07/10/12,Siena,Juventus,1,2,-191.0,1.71,6.59,6.5,1.53,0.45,0.84,2.4,7,7
1,21/10/12,Genoa,Roma,2,4,-211.0,1.48,21.99,3.3,2.05,0.43,0.52,6.0,7,7
1,28/10/12,Catania,Juventus,0,1,-231.0,1.62,10.28,5.0,1.73,0.47,0.85,3.825,7,7
2,31/10/12,Juventus,Bologna,2,1,-251.0,2.17,2.8,1.25,12.0,0.86,0.43,0.21504,7,7
1,10/11/12,Pescara,Juventus,1,6,-271.0,1.39,14.31,8.5,1.36,0.38,0.83,7.5,7,7
1,25/11/12,Milan,Juventus,1,0,-227.0,1.54,22.72,3.2,2.25,0.59,0.82,6.825,7,7
1,25/11/12,Pescara,Roma,0,1,-247.0,1.4,19.08,5.5,1.53,0.31,0.51,7.5,7,7
1,02/12/12,Siena,Roma,1,3,-267.0,1.48,22.15,3.5,2.0,0.45,0.54,6.0,7,7
1,09/12/12,Palermo,Juventus,0,1,-287.0,1.49,15.68,5.5,1.62,0.39,0.79,7.125,7,7
1,16/12/12,Chievo,Roma,1,0,-235.0,1.61,8.94,3.6,1.91,0.47,0.59,2.325,7,7
2,16/12/12,Napoli,Bologna,2,3,-75.0,2.61,2.53,1.36,9.0,0.65,0.44,0.21888,7,7
1,21/12/12,Cagliari,Juventus,1,3,-95.0,1.71,5.46,8.5,1.4,0.36,0.81,2.4,7,7
1,22/12/12,Siena,Napoli,0,2,-115.0,1.65,11.13,4.2,1.91,0.38,0.62,3.675,7,7
2,06/01/13,Juventus,Sampdoria,1,2,185.0,1.9,3.13,1.18,16.0,0.82,0.31,0.20736,7,7
2,12/01/13,Inter,Pescara,2,0,165.0,1.95,3.26,1.25,12.0,0.58,0.4,0.384,7,7
1,13/01/13,Catania,Roma,1,0,202.6,1.45,22.79,2.88,2.2,0.48,0.55,6.0,7,7
1,13/01/13,Parma,Juventus,1,1,182.6,1.52,17.15,5.0,1.73,0.6,0.78,4.875,7,7
1,27/01/13,Atalanta,Milan,0,1,162.6,1.6,13.56,3.5,2.1,0.42,0.66,4.425,7,7
2,02/02/13,Napoli,Catania,2,0,142.6,3.08,2.29,1.5,6.5,0.68,0.56,0.20352,7,7
1,03/02/13,Chievo,Juventus,1,2,122.6,1.52,13.01,5.5,1.62,0.5,0.76,4.35,7,7
1,10/02/13,Sampdoria,Roma,3,1,166.6,1.5,20.43,3.2,2.15,0.37,0.49,6.0,7,7
1,26/02/13,Bologna,Fiorentina,2,1,212.6,1.56,18.48,3.3,2.2,0.44,0.55,4.95,7,7
1,10/03/13,Chievo,Napoli,2,0,262.6,1.55,14.19,3.5,2.05,0.4,0.66,5.025,7,7
1,16/03/13,Bologna,Juventus,0,2,242.6,1.52,13.56,5.5,1.62,0.53,0.76,4.275,7,7
2,17/03/13,Milan,Palermo,2,0,222.6,1.92,3.46,1.29,11.0,0.72,0.33,0.27456,7,7
1,13/04/13,Atalanta,Fiorentina,0,2,202.6,1.56,20.13,3.25,2.25,0.46,0.56,5.25,7,7
1,27/04/13,Cagliari,Udinese,0,1,182.6,1.62,14.04,3.6,2.1,0.51,0.61,3.45,7,7
1,27/04/13,Pescara,Napoli,0,3,162.6,1.63,5.33,9.0,1.33,0.2,0.69,3.75,7,7
2,07/05/13,Roma,Chievo,0,1,382.6,2.22,2.72,1.25,12.0,0.6,0.43,0.29184,7,7
1,08/05/13,Pescara,Milan,0,4,362.6,1.58,4.45,15.0,1.17,0.18,0.72,3.75,7,7
1,08/05/13,Siena,Fiorentina,0,1,342.6,1.63,7.28,5.5,1.57,0.39,0.59,2.25,7,7
2,12/05/13,Lazio,Sampdoria,2,0,322.6,2.33,2.7,1.33,8.5,0.52,0.37,0.27456,7,7
1,19/05/13,Cagliari,Lazio,1,0,407.6,1.58,9.83,5.25,1.65,0.46,0.55,2.475,7,7
1,24/08/13,Verona,Milan,2,1,482.6,1.47,22.72,4.75,1.75,0.5,0.73,7.5,7,7
2,25/08/13,Napoli,Bologna,3,0,462.6,2.52,2.55,1.36,8.5,0.71,0.48,0.22848,7,7
2,26/08/13,Fiorentina,Catania,2,1,442.6,3.1,2.28,1.44,7.5,0.65,0.54,0.20352,7,7
2,14/09/13,Napoli,Atalanta,2,0,422.6,2.39,2.7,1.36,8.5,0.74,0.4,0.20352,7,7
1,22/09/13,Sassuolo,Inter,0,7,402.6,1.65,7.89,4.5,1.75,0.1,0.47,7.5,7,7
1,25/09/13,Chievo,Juventus,1,2,382.6,1.57,8.12,7.5,1.44,0.45,0.8,3.075,7,7
1,28/09/13,Genoa,Napoli,0,2,362.6,1.66,9.03,4.75,1.75,0.4,0.76,3.45,7,7
