bet,date,hometeam,awayteam,bank,my_homeodds,my_awayodds,official_homeodds,official_awayodds
1,18/12/16,Darmstadt,Bayern Munich,906.0,1.66,3.66,19.0,1.14
1,20/12/16,Hamburg,Schalke 04,952.0,1.62,13.14,3.3,2.3
1,20/01/17,Freiburg,Bayern Munich,932.0,1.41,7.43,13.0,1.22
1,21/01/17,Darmstadt,M'gladbach,912.0,1.77,6.42,4.0,1.91
1,21/01/17,Werder Bremen,Dortmund,892.0,1.84,4.45,6.0,1.53
1,28/01/17,Werder Bremen,Bayern Munich,872.0,4.81,1.57,15.0,1.2
1,29/01/17,Mainz,Dortmund,852.0,1.94,4.07,5.25,1.62
1,11/02/17,Darmstadt,Dortmund,1012.0,2.33,2.7,9.0,1.36
1,11/02/17,Ingolstadt,Bayern Munich,992.0,1.92,3.59,8.5,1.36
1,17/02/17,Augsburg,Leverkusen,972.0,1.6,14.98,3.25,2.25
1,03/03/17,Augsburg,RB Leipzig,952.0,1.59,11.68,4.2,1.91
2,04/03/17,Dortmund,Leverkusen,932.0,2.77,2.45,1.5,6.5
1,04/03/17,FC Koln,Bayern Munich,912.0,1.6,6.03,8.5,1.4
2,11/03/17,Bayern Munich,Ein Frankfurt,892.0,1.4,5.71,1.13,21.0
1,11/03/17,Freiburg,Hoffenheim,872.0,1.53,18.47,3.0,2.38
1,11/03/17,Hertha,Dortmund,957.0,1.46,15.28,5.25,1.65
1,18/03/17,Werder Bremen,RB Leipzig,1007.0,1.57,12.01,3.5,2.05
1,19/03/17,M'gladbach,Bayern Munich,987.0,1.39,14.71,8.0,1.4
2,01/04/17,Bayern Munich,Augsburg,967.0,1.34,6.6,1.1,26.0
1,01/04/17,Schalke 04,Dortmund,947.0,1.5,18.61,3.75,2.0
2,04/04/17,Dortmund,Hamburg,927.0,2.39,2.45,1.29,10.0
1,04/04/17,Hoffenheim,Bayern Munich,1027.0,1.7,5.1,6.0,1.5
1,04/04/17,Werder Bremen,Schalke 04,1067.0,1.57,12.91,3.0,2.3
1,05/04/17,Darmstadt,Leverkusen,1047.0,1.67,7.2,5.0,1.7
1,05/04/17,Mainz,RB Leipzig,1027.0,1.61,11.63,3.4,2.15
2,08/04/17,Bayern Munich,Dortmund,1007.0,3.09,2.34,1.62,5.5
1,08/04/17,Hamburg,Hoffenheim,1057.0,1.53,16.65,3.5,2.1
1,15/04/17,Leverkusen,Bayern Munich,1037.0,1.57,8.06,4.75,1.62
1,16/04/17,Darmstadt,Schalke 04,1132.0,2.27,3.38,5.75,1.6
2,22/04/17,Hamburg,Darmstadt,1272.0,2.3,2.82,1.4,8.0
1,22/04/17,M'gladbach,Dortmund,1252.0,1.57,10.57,3.5,2.05
1,23/04/17,Freiburg,Leverkusen,1300.0,1.49,20.15,3.4,2.1
1,23/04/17,Schalke 04,RB Leipzig,1280.0,1.58,12.49,3.0,2.3
1,29/04/17,Darmstadt,Freiburg,1326.0,1.66,10.75,3.3,2.25
2,29/04/17,Dortmund,FC Koln,1306.0,2.42,2.42,1.29,10.0
1,29/04/17,Wolfsburg,Bayern Munich,1286.0,2.05,3.31,8.0,1.4
2,06/05/17,Bayern Munich,Darmstadt,1266.0,1.25,8.34,1.07,26.0
1,06/05/17,Hertha,RB Leipzig,1246.0,1.58,12.05,3.5,2.1
1,07/05/17,Freiburg,Schalke 04,1292.0,1.48,25.74,3.3,2.15
1,13/05/17,Augsburg,Dortmund,1272.0,1.53,7.81,6.0,1.5
1,13/05/17,Darmstadt,Hertha,1252.0,1.59,13.04,3.5,2.15
1,13/05/17,RB Leipzig,Bayern Munich,1232.0,1.51,14.53,3.75,1.95
2,20/05/17,Bayern Munich,Freiburg,1212.0,1.52,4.57,1.17,15.0
1,20/05/17,Ein Frankfurt,RB Leipzig,1192.0,1.6,10.12,4.0,1.91
2,18/08/17,Bayern Munich,Leverkusen,1172.0,1.76,3.76,1.25,12.0
1,19/08/17,Wolfsburg,Dortmund,1152.0,1.7,6.18,3.8,1.85
1,09/09/17,Hoffenheim,Bayern Munich,1272.0,1.44,12.16,7.0,1.45
