bet,date,hometeam,awayteam,homegoals,awaygoals,bank,my_homeodds,my_awayodds,official_homeodds,official_awayodds,hfr19,afr19,str,wsh_form,wsa_form
1,21/03/15,Hannover,Dortmund,2,3,211.0,1.46,12.74,5.0,1.62,0.38,0.55,4.2,7,7
1,21/03/15,Paderborn,Hoffenheim,0,0,191.0,1.6,10.97,3.75,2.0,0.31,0.51,3.75,7,7
2,22/03/15,Bayern Munich,M'gladbach,0,2,511.0,1.81,3.2,1.17,17.0,0.88,0.63,0.4224,7,7
1,22/03/15,Mainz,Wolfsburg,1,1,491.0,1.53,14.44,3.25,2.15,0.47,0.74,4.95,7,7
1,04/04/15,Dortmund,Bayern Munich,0,1,471.0,1.5,20.64,3.3,2.15,0.57,0.84,6.75,7,7
1,11/04/15,Hamburg,Wolfsburg,0,2,451.0,1.71,6.67,4.33,1.8,0.32,0.74,3.0,7,7
1,17/04/15,Ein Frankfurt,M'gladbach,0,0,431.0,1.46,20.48,4.2,1.85,0.43,0.69,7.5,7,7
1,18/04/15,Hoffenheim,Bayern Munich,0,2,411.0,2.05,3.66,5.5,1.6,0.45,0.85,1.125,7,7
2,25/04/15,Dortmund,Ein Frankfurt,2,0,391.0,2.36,2.6,1.33,9.0,0.54,0.44,0.29952,7,7
1,25/04/15,FC Koln,Leverkusen,1,1,371.0,1.6,8.79,4.75,1.75,0.42,0.69,3.0,7,7
1,02/05/15,Hoffenheim,Dortmund,1,1,351.0,1.48,13.65,4.0,1.83,0.46,0.56,3.75,7,7
1,03/05/15,Hertha,M'gladbach,1,2,331.0,1.57,11.48,5.0,1.75,0.43,0.69,3.9,7,7
1,10/05/15,Paderborn,Wolfsburg,1,3,311.0,1.42,17.15,4.75,1.67,0.37,0.69,7.5,7,7
1,16/05/15,Freiburg,Bayern Munich,2,1,431.0,2.26,3.13,7.0,1.5,0.4,0.78,0.9,7,7
1,16/05/15,Werder Bremen,M'gladbach,0,2,411.0,1.48,13.3,4.33,1.75,0.52,0.73,4.2,7,7
2,23/05/15,Dortmund,Werder Bremen,3,2,391.0,1.99,3.09,1.29,10.0,0.55,0.5,0.4704,7,7
1,23/05/15,Ein Frankfurt,Leverkusen,2,1,461.0,1.43,14.62,4.5,1.67,0.43,0.68,5.4,7,7
1,23/05/15,Paderborn,Stuttgart,1,2,441.0,1.43,26.55,3.4,2.05,0.33,0.4,7.5,7,7
2,14/08/15,Bayern Munich,Hamburg,5,0,421.0,1.31,6.86,1.08,29.0,0.75,0.38,0.88512,7,7
1,22/08/15,FC Koln,Wolfsburg,1,1,401.0,1.64,7.84,4.2,1.83,0.47,0.73,2.475,7,7
1,22/08/15,Hannover,Leverkusen,0,1,381.0,1.74,6.24,4.2,1.83,0.42,0.66,1.875,7,7
1,22/08/15,Hoffenheim,Bayern Munich,1,2,361.0,2.0,2.99,9.5,1.25,0.42,0.76,0.9,7,7
1,23/08/15,Ingolstadt,Dortmund,0,4,341.0,1.32,49.5,7.0,1.45,1.0,0.6,7.5,7,7
2,29/08/15,Bayern Munich,Leverkusen,3,0,321.0,2.52,2.43,1.33,9.0,0.78,0.68,0.28032,7,7
1,29/08/15,Darmstadt,Hoffenheim,0,0,301.0,1.49,41.79,3.0,2.4,0.5,0.4,7.5,7,7
2,30/08/15,Dortmund,Hertha,3,1,281.0,2.17,2.59,1.2,17.0,0.62,0.41,0.26304,7,7
2,12/09/15,Bayern Munich,Augsburg,2,1,261.0,1.85,2.82,1.13,19.0,0.79,0.46,0.29568,7,7
1,12/09/15,Hannover,Dortmund,2,4,241.0,1.53,8.16,7.5,1.44,0.38,0.64,3.0,7,7
1,12/09/15,Ingolstadt,Wolfsburg,0,0,221.0,1.45,29.98,4.0,1.91,0.67,0.73,7.5,7,7
1,19/09/15,Darmstadt,Bayern Munich,0,3,201.0,1.23,21.84,19.0,1.17,0.63,0.8,7.5,7,7
2,22/09/15,Bayern Munich,Wolfsburg,5,1,181.0,1.81,3.55,1.25,12.0,0.81,0.74,0.5952,7,7
1,23/09/15,Hoffenheim,Dortmund,1,1,161.0,1.44,10.4,7.0,1.44,0.37,0.67,4.35,7,7
1,26/09/15,Mainz,Bayern Munich,0,3,141.0,1.86,3.37,12.0,1.25,0.47,0.82,1.05,7,7
1,02/10/15,Darmstadt,Mainz,2,3,121.0,1.49,43.55,3.1,2.4,0.57,0.44,7.5,7,7
1,16/10/15,Mainz,Dortmund,0,2,101.0,1.5,8.07,5.75,1.5,0.47,0.63,2.4,7,7
1,17/10/15,Hamburg,Leverkusen,0,0,81.0,1.54,15.86,4.75,1.8,0.4,0.61,5.25,7,7
1,17/10/15,Werder Bremen,Bayern Munich,0,1,61.0,2.94,1.94,17.0,1.18,0.41,0.84,0.45,7,7
2,24/10/15,Bayern Munich,FC Koln,4,0,41.0,1.44,5.12,1.1,29.0,0.84,0.48,0.67584,7,7
1,24/10/15,Darmstadt,Wolfsburg,0,1,21.0,1.44,27.01,4.75,1.75,0.56,0.67,7.5,7,7
2,25/10/15,Dortmund,Augsburg,5,1,1.0,1.83,3.21,1.2,13.0,0.65,0.4,0.35904,7,7
1,30/10/15,Ein Frankfurt,Bayern Munich,0,0,-19.0,2.34,2.23,15.0,1.17,0.45,0.85,0.6,7,7
1,31/10/15,Werder Bremen,Dortmund,1,3,-39.0,1.54,6.62,7.5,1.4,0.42,0.66,2.25,7,7
1,07/11/15,Mainz,Wolfsburg,2,0,7.0,1.52,15.16,3.3,2.15,0.43,0.7,5.4,7,7
2,08/11/15,Dortmund,Schalke 04,3,2,-13.0,2.72,2.15,1.3,8.5,0.68,0.56,0.21696,7,7
1,21/11/15,Schalke 04,Bayern Munich,1,3,-33.0,1.45,6.38,13.0,1.22,0.53,0.84,2.325,7,7
1,05/12/15,M'gladbach,Bayern Munich,3,1,127.0,1.32,19.21,9.0,1.33,0.67,0.86,6.225,7,7
2,13/12/15,Dortmund,Ein Frankfurt,4,1,107.0,1.65,3.73,1.17,15.0,0.69,0.39,0.42624,7,7
1,19/12/15,FC Koln,Dortmund,2,1,227.0,1.48,8.84,7.0,1.44,0.46,0.71,3.075,7,7
1,19/12/15,Hannover,Bayern Munich,0,1,207.0,2.38,2.35,15.0,1.2,0.36,0.82,0.75,7,7
1,19/12/15,Ingolstadt,Leverkusen,0,1,187.0,1.48,25.3,4.75,1.8,0.44,0.58,7.5,7,7
1,22/01/16,Hamburg,Bayern Munich,1,2,167.0,1.78,3.52,13.0,1.22,0.43,0.83,1.275,7,7
1,23/01/16,M'gladbach,Dortmund,1,3,147.0,1.39,24.64,4.5,1.7,0.67,0.67,5.925,7,7
1,24/01/16,Ein Frankfurt,Wolfsburg,3,2,199.0,1.6,11.27,3.6,2.05,0.4,0.6,3.525,7,7
1,30/01/16,Darmstadt,Schalke 04,0,2,179.0,1.49,28.83,3.4,2.15,0.43,0.5,7.5,7,7
2,30/01/16,Dortmund,Ingolstadt,2,0,159.0,1.83,3.23,1.17,19.0,0.69,0.45,0.384,7,7
1,06/02/16,Hertha,Dortmund,0,0,139.0,1.45,12.86,6.5,1.5,0.55,0.71,3.825,7,7
1,06/02/16,Leverkusen,Bayern Munich,0,0,119.0,1.48,11.65,5.25,1.6,0.62,0.85,3.6,7,7
1,14/02/16,Augsburg,Bayern Munich,1,3,99.0,1.42,7.63,13.0,1.22,0.46,0.83,3.225,7,7
1,14/02/16,Hamburg,M'gladbach,3,2,145.0,1.5,18.04,3.3,2.1,0.39,0.62,6.375,7,7
2,20/02/16,Bayern Munich,Darmstadt,3,1,125.0,1.55,3.67,1.08,26.0,0.84,0.41,0.384,7,7
1,21/02/16,Leverkusen,Dortmund,0,1,105.0,1.5,20.97,3.4,2.1,0.63,0.71,5.25,7,7
1,27/02/16,Wolfsburg,Bayern Munich,0,2,85.0,1.65,5.78,9.0,1.4,0.55,0.85,1.8,7,7
2,28/02/16,Dortmund,Hoffenheim,3,1,65.0,1.87,3.1,1.18,17.0,0.73,0.39,0.29568,7,7
1,28/02/16,Mainz,Leverkusen,3,1,120.0,1.54,15.59,3.75,2.0,0.51,0.6,3.975,7,7
1,02/03/16,Darmstadt,Dortmund,0,2,100.0,1.37,16.29,8.0,1.4,0.39,0.74,7.5,7,7
1,12/03/16,Hoffenheim,Wolfsburg,1,0,148.0,1.59,10.52,3.4,2.1,0.38,0.57,3.3,7,7
1,19/03/16,FC Koln,Bayern Munich,0,1,128.0,1.72,4.6,11.0,1.29,0.46,0.81,1.575,7,7
1,20/03/16,Augsburg,Dortmund,1,3,108.0,1.56,7.8,6.5,1.5,0.45,0.75,2.775,7,7
1,02/04/16,Darmstadt,Stuttgart,2,2,88.0,1.59,14.83,3.4,2.2,0.39,0.47,3.75,7,7
1,09/04/16,Ingolstadt,M'gladbach,1,0,132.0,1.5,26.92,3.2,2.2,0.48,0.6,7.5,7,7
1,10/04/16,Schalke 04,Dortmund,2,2,112.0,1.48,13.56,4.2,1.73,0.53,0.78,4.5,7,7
1,15/04/16,Hannover,M'gladbach,2,0,202.0,1.85,4.74,5.5,1.62,0.24,0.57,2.025,7,7
1,23/04/16,Stuttgart,Dortmund,0,3,182.0,1.78,4.97,4.75,1.65,0.42,0.78,1.725,7,7
2,30/04/16,Dortmund,Wolfsburg,5,1,162.0,2.21,2.87,1.36,8.5,0.79,0.46,0.25152,7,7
1,30/04/16,Hannover,Schalke 04,1,3,142.0,1.55,9.66,3.8,1.85,0.29,0.47,3.375,7,7
1,07/05/16,Ein Frankfurt,Dortmund,1,0,262.0,1.61,5.91,7.0,1.45,0.4,0.81,2.475,7,7
1,07/05/16,FC Koln,Werder Bremen,0,0,242.0,1.42,34.93,2.8,2.38,0.48,0.43,7.35,7,7
1,07/05/16,Ingolstadt,Bayern Munich,1,2,222.0,1.36,8.28,15.0,1.18,0.45,0.83,3.75,7,7
1,14/05/16,Darmstadt,M'gladbach,0,2,202.0,1.52,13.27,3.5,2.0,0.45,0.58,3.75,7,7
2,14/05/16,Dortmund,FC Koln,2,2,182.0,2.24,2.63,1.29,8.0,0.77,0.48,0.24384,7,7
1,14/05/16,Hoffenheim,Schalke 04,1,4,162.0,1.49,15.13,3.2,2.05,0.47,0.5,3.6,7,7
1,27/08/16,Ein Frankfurt,Schalke 04,1,0,210.0,1.55,19.09,3.4,2.2,0.42,0.53,5.175,7,7
1,09/09/16,Schalke 04,Bayern Munich,0,2,190.0,1.74,4.1,10.0,1.3,0.5,0.86,1.35,7,7
1,10/09/16,Freiburg,M'gladbach,3,1,242.0,1.49,19.41,3.6,2.0,0.39,0.62,6.9,7,7
1,10/09/16,RB Leipzig,Dortmund,1,0,327.0,1.4,20.49,5.25,1.62,0.5,0.77,7.5,7,7
2,17/09/16,Bayern Munich,Ingolstadt,3,1,307.0,1.32,6.21,1.07,34.0,0.86,0.38,0.6912,7,7
2,17/09/16,Dortmund,Darmstadt,6,0,287.0,1.45,4.98,1.13,21.0,0.73,0.43,0.672,7,7
1,17/09/16,Ein Frankfurt,Leverkusen,2,1,347.0,1.59,11.98,4.0,1.95,0.42,0.65,3.9,7,7
1,17/09/16,Hoffenheim,Wolfsburg,0,0,327.0,1.47,24.15,3.1,2.25,0.46,0.51,6.075,7,7
1,20/09/16,Wolfsburg,Dortmund,1,5,307.0,1.53,12.57,4.75,1.75,0.51,0.74,3.975,7,7
1,24/09/16,Hamburg,Bayern Munich,0,1,287.0,2.12,2.6,13.0,1.2,0.37,0.88,0.975,7,7
1,24/09/16,Werder Bremen,Wolfsburg,2,1,345.0,1.55,11.3,3.9,1.91,0.37,0.48,3.15,7,7
1,01/10/16,Leverkusen,Dortmund,2,0,401.0,1.54,13.87,3.8,1.95,0.63,0.77,3.675,7,7
2,14/10/16,Dortmund,Hertha,1,1,381.0,2.15,2.91,1.33,9.0,0.73,0.53,0.32832,7,7
1,15/10/16,Augsburg,Schalke 04,1,1,361.0,1.5,24.77,3.1,2.3,0.45,0.43,5.25,7,7
1,15/10/16,Ein Frankfurt,Bayern Munich,2,2,341.0,1.86,3.37,13.0,1.25,0.46,0.86,1.125,7,7
1,22/10/16,Darmstadt,Wolfsburg,3,1,411.0,1.58,11.34,4.5,1.8,0.37,0.44,2.85,7,7
1,22/10/16,Ingolstadt,Dortmund,3,3,391.0,1.85,4.53,6.0,1.53,0.28,0.72,2.1,7,7
1,29/10/16,Augsburg,Bayern Munich,1,3,371.0,1.52,5.35,15.0,1.2,0.43,0.85,2.325,7,7
1,29/10/16,Darmstadt,RB Leipzig,0,2,351.0,1.48,16.63,6.0,1.62,0.41,0.82,7.5,7,7
2,05/11/16,Leverkusen,Darmstadt,3,2,331.0,2.3,2.55,1.25,13.0,0.6,0.39,0.24,7,7
1,19/11/16,Dortmund,Bayern Munich,1,0,379.0,1.52,15.27,3.4,2.1,0.72,0.84,3.9,7,7
1,25/11/16,Freiburg,RB Leipzig,1,4,359.0,1.51,16.61,3.8,1.95,0.43,0.88,7.5,7,7
2,26/11/16,Bayern Munich,Leverkusen,2,1,339.0,2.06,2.87,1.29,10.0,0.8,0.59,0.34176,7,7
1,26/11/16,Ein Frankfurt,Dortmund,2,1,414.0,1.43,15.95,4.75,1.65,0.54,0.73,5.025,7,7
1,02/12/16,Mainz,Bayern Munich,1,3,394.0,1.43,7.9,10.0,1.29,0.51,0.81,2.925,7,7
1,10/12/16,FC Koln,Dortmund,1,1,374.0,1.39,19.43,5.5,1.57,0.53,0.71,6.225,7,7
1,10/12/16,Ingolstadt,RB Leipzig,1,0,440.6,1.55,11.48,4.33,1.8,0.3,0.91,7.5,7,7
1,16/12/16,Hoffenheim,Dortmund,2,2,420.6,1.49,12.96,3.8,1.85,0.59,0.7,3.45,7,7
1,18/12/16,Darmstadt,Bayern Munich,0,1,400.6,1.66,3.66,19.0,1.14,0.29,0.83,2.1,7,7
1,20/01/17,Freiburg,Bayern Munich,1,2,380.6,1.41,7.43,13.0,1.22,0.47,0.84,3.15,7,7
1,21/01/17,Werder Bremen,Dortmund,1,2,360.6,1.84,4.45,6.0,1.53,0.43,0.68,1.275,7,7
1,29/01/17,Mainz,Dortmund,1,1,340.6,1.94,4.07,5.25,1.62,0.46,0.69,1.05,7,7
1,11/02/17,Darmstadt,Dortmund,2,1,500.6,2.33,2.7,9.0,1.36,0.24,0.7,1.125,7,7
1,11/02/17,Ingolstadt,Bayern Munich,0,2,480.6,1.92,3.59,8.5,1.36,0.35,0.84,1.5,7,7
1,03/03/17,Augsburg,RB Leipzig,2,2,460.6,1.59,11.68,4.2,1.91,0.47,0.72,3.75,7,7
1,04/03/17,FC Koln,Bayern Munich,0,3,440.6,1.6,6.03,8.5,1.4,0.52,0.84,2.025,7,7
2,11/03/17,Bayern Munich,Ein Frankfurt,3,0,420.6,1.4,5.71,1.13,21.0,0.85,0.47,0.75072,7,7
1,11/03/17,Hertha,Dortmund,2,1,505.6,1.46,15.28,5.25,1.65,0.5,0.71,4.95,7,7
1,18/03/17,Werder Bremen,RB Leipzig,3,0,555.6,1.57,12.01,3.5,2.05,0.45,0.66,3.75,7,7
1,19/03/17,M'gladbach,Bayern Munich,0,1,535.6,1.39,14.71,8.0,1.4,0.52,0.86,5.85,7,7
2,01/04/17,Bayern Munich,Augsburg,6,0,515.6,1.34,6.6,1.1,26.0,0.87,0.45,0.85248,7,7
1,01/04/17,Schalke 04,Dortmund,1,1,495.6,1.5,18.61,3.75,2.0,0.53,0.69,5.4,7,7
2,04/04/17,Dortmund,Hamburg,3,0,475.6,2.39,2.45,1.29,10.0,0.68,0.49,0.24576,7,7
1,04/04/17,Hoffenheim,Bayern Munich,1,0,575.6,1.7,5.1,6.0,1.5,0.65,0.88,1.35,7,7
1,05/04/17,Darmstadt,Leverkusen,0,2,555.6,1.67,7.2,5.0,1.7,0.25,0.47,2.7,7,7
1,08/04/17,Hamburg,Hoffenheim,2,1,605.6,1.53,16.65,3.5,2.1,0.47,0.67,5.175,7,7
1,15/04/17,Leverkusen,Bayern Munich,0,0,585.6,1.57,8.06,4.75,1.62,0.48,0.84,3.0,7,7
1,22/04/17,M'gladbach,Dortmund,2,3,565.6,1.57,10.57,3.5,2.05,0.52,0.68,2.925,7,7
1,23/04/17,Freiburg,Leverkusen,2,1,613.6,1.49,20.15,3.4,2.1,0.49,0.48,4.425,7,7
2,29/04/17,Dortmund,FC Koln,0,0,593.6,2.42,2.42,1.29,10.0,0.69,0.46,0.22272,7,7
1,29/04/17,Wolfsburg,Bayern Munich,0,6,573.6,2.05,3.31,8.0,1.4,0.41,0.8,1.05,7,7
1,06/05/17,Hertha,RB Leipzig,1,4,553.6,1.58,12.05,3.5,2.1,0.46,0.68,3.75,7,7
1,07/05/17,Freiburg,Schalke 04,2,0,599.6,1.48,25.74,3.3,2.15,0.49,0.52,6.15,7,7
1,13/05/17,Augsburg,Dortmund,1,1,579.6,1.53,7.81,6.0,1.5,0.43,0.7,2.775,7,7
1,13/05/17,Darmstadt,Hertha,0,2,559.6,1.59,13.04,3.5,2.15,0.32,0.43,3.675,7,7
1,13/05/17,RB Leipzig,Bayern Munich,4,5,539.6,1.51,14.53,3.75,1.95,0.7,0.82,3.75,7,7
1,20/05/17,Ein Frankfurt,RB Leipzig,2,2,519.6,1.6,10.12,4.0,1.91,0.37,0.66,3.75,7,7
1,19/08/17,Wolfsburg,Dortmund,0,3,499.6,1.7,6.18,3.8,1.85,0.41,0.71,2.1,7,7
1,09/09/17,Hoffenheim,Bayern Munich,2,0,619.6,1.44,12.16,7.0,1.45,0.66,0.86,3.675,7,7
