bet,date,hometeam,awayteam,homegoals,awaygoals,bank,my_homeodds,my_awayodds,official_homeodds,official_awayodds,hfr19,afr19,str,wsh_form,wsa_form
2,26/11/11,Chelsea,Wolves,3,0,179.0,1.83,3.49,1.22,15.0,0.63,0.37,0.3744,7,7
1,26/11/11,West Brom,Tottenham,1,3,159.0,1.49,20.0,4.0,1.91,0.47,0.7,6.675,7,7
1,03/12/11,Aston Villa,Man United,0,1,139.0,1.6,10.2,5.0,1.73,0.5,0.76,3.225,7,7
1,03/12/11,Newcastle,Chelsea,0,3,119.0,1.56,15.3,3.5,2.1,0.59,0.65,3.6,7,7
2,03/12/11,Tottenham,Bolton,3,0,99.0,1.9,3.67,1.3,12.0,0.71,0.3,0.27264,7,7
1,03/12/11,Wigan,Arsenal,0,4,79.0,1.63,7.42,6.0,1.57,0.37,0.62,2.55,7,7
2,10/12/11,Man United,Wolves,4,1,59.0,1.72,3.97,1.22,15.0,0.78,0.38,0.3744,7,7
1,17/12/11,Wigan,Chelsea,1,1,39.0,1.9,3.81,9.0,1.36,0.38,0.68,1.2,7,7
1,18/12/11,Aston Villa,Liverpool,0,2,19.0,1.53,19.18,4.2,1.91,0.5,0.61,5.1,7,7
1,18/12/11,QPR,Man United,0,2,-1.0,1.42,15.37,7.5,1.44,0.38,0.79,7.5,7,7
1,21/12/11,Aston Villa,Arsenal,1,2,-21.0,1.48,20.85,5.0,1.73,0.48,0.63,6.15,7,7
1,21/12/11,Fulham,Man United,0,5,-41.0,1.64,9.02,5.0,1.73,0.49,0.8,3.0,7,7
2,21/12/11,Man City,Stoke,3,0,-61.0,1.8,3.62,1.22,15.0,0.77,0.5,0.43584,7,7
1,21/12/11,Wigan,Liverpool,0,0,-81.0,1.48,13.78,7.0,1.5,0.39,0.63,5.025,7,7
2,26/12/11,Liverpool,Blackburn,1,1,-101.0,1.77,3.93,1.25,13.0,0.62,0.31,0.36864,7,7
